school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
City Honors College Preparatory Academy,math,294,False,0.386,0.4,22.615384615384617,294.0,15,9,0,0.0,5051.430803069441,0.15
Clairemont High,ela,1000,False,0.47100000000000003,0.555,16.49076517150396,250.0,13,12,0,0.0,-5090.988202698735,0.66
Clairemont High,math,1000,False,0.47100000000000003,0.555,16.49076517150396,250.0,13,12,0,0.0,-5090.988202698735,0.33
Claremont High,ela,2359,False,0.257,0.324,24.547346514047867,471.8,15,11,0,0.011869436201780416,5056.4150867632325,0.77
Claremont High,math,2359,False,0.257,0.324,24.547346514047867,471.8,15,11,0,0.011869436201780416,5056.4150867632325,0.5
Classical Academy High,ela,1084,True,0.079,0.163,22.91754756871036,197.0909090909091,5,4,0,0,4154.503185951712,0.86
Classical Academy High,math,1084,True,0.079,0.163,22.91754756871036,197.0909090909091,5,4,0,0,4154.503185951712,0.6
Clayton Valley Charter High,ela,1984,True,0.128,0.18,25.766233766233768,396.8,9,1,0,0.038306451612903226,4073.396809772297,0.7300000000000001
Clayton Valley Charter High,math,1984,True,0.128,0.18,25.766233766233768,396.8,9,1,0,0.038306451612903226,4073.396809772297,0.51
Clear Lake High,ela,397,False,0.368,0.46,20.76359832635983,397.0,16,13,0,0.08060453400503778,4832.0591720154,0.6
Clear Lake High,math,397,False,0.368,0.46,20.76359832635983,397.0,16,13,0,0.08060453400503778,4832.0591720154,0.42000000000000004
Clear Passage Educational Center,ela,4,True,1.0,1.0,2.0,,1,1,2,0,5501.362705880844,0.0
Clear Passage Educational Center,math,4,True,1.0,1.0,2.0,,1,1,2,0,5501.362705880844,0.0
Cloverdale High,ela,389,False,0.419,0.491,16.91304347826087,194.5,17,12,0,0.06683804627249357,5501.745308022918,0.56
Cloverdale High,math,389,False,0.419,0.491,16.91304347826087,194.5,17,12,0,0.06683804627249357,5501.745308022918,0.25
Clovis East High,ela,2203,False,0.41700000000000004,0.544,12.852225657779593,146.86666666666667,12,9,0,0.053109396277803,4722.228005157229,0.7
Clovis East High,math,2203,False,0.41700000000000004,0.544,12.852225657779593,146.86666666666667,12,9,0,0.053109396277803,4722.228005157229,0.35
Clovis High,ela,2939,False,0.36200000000000004,0.469,14.83294640153427,226.07692307692307,14,11,0,0.04457298400816604,4722.228005157229,0.77
Clovis High,math,2939,False,0.36200000000000004,0.469,14.83294640153427,226.07692307692307,14,11,0,0.04457298400816604,4722.228005157229,0.38
Clovis North High,ela,2459,False,0.157,0.21100000000000002,13.569142478755104,150.12210012210014,11,9,0,0.027246848312322082,4722.228005157229,0.86
Clovis North High,math,2459,False,0.157,0.21100000000000002,13.569142478755104,150.12210012210014,11,9,0,0.027246848312322082,4722.228005157229,0.61
Clovis Online Charter,ela,299,True,0.289,0.32899999999999996,15.372750642673523,115.89147286821705,15,12,0,0,4722.228005157229,0.5108024691358025
Clovis Online Charter,math,299,True,0.289,0.32899999999999996,15.372750642673523,115.89147286821705,15,12,0,0,4722.228005157229,0.15096774193548387
Clovis West High,ela,2095,False,0.33299999999999996,0.425,13.411433326931693,174.58333333333334,14,12,0,0.05632458233890215,4722.228005157229,0.7200000000000001
Clovis West High,math,2095,False,0.33299999999999996,0.425,13.411433326931693,174.58333333333334,14,12,0,0.05632458233890215,4722.228005157229,0.42
Coachella Valley High,ela,2619,False,0.7929999999999999,0.91,25.01432664756447,201.46153846153845,15,13,0,0.010691103474608629,5731.836781718888,0.36
Coachella Valley High,math,2619,False,0.7929999999999999,0.91,25.01432664756447,201.46153846153845,15,13,0,0.010691103474608629,5731.836781718888,0.17
Coalinga High,ela,1183,False,0.649,0.748,20.838471023427864,236.6,11,9,0,0.10059171597633136,5640.949820103436,0.42
Coalinga High,math,1183,False,0.649,0.748,20.838471023427864,236.6,11,9,0,0.10059171597633136,5640.949820103436,0.08
Coast Union High,ela,230,False,0.401,0.485,12.306046013911182,76.66666666666667,17,11,0,0.0,7826.435014409222,0.63
Coast Union High,math,230,False,0.401,0.485,12.306046013911182,76.66666666666667,17,11,0,0.0,7826.435014409222,0.37
Cobalt Institute Of Math And Science Academy,ela,864,False,0.601,0.7290000000000001,26.04763340367802,432.0,11,9,0,0.024305555555555556,3546.814428033592,0.3900439367311072
Cobalt Institute Of Math And Science Academy,math,864,False,0.601,0.7290000000000001,26.04763340367802,432.0,11,9,0,0.024305555555555556,3546.814428033592,0.22966666666666666
Cold Springs High,ela,4,False,0.25,0.75,1.5503875968992247,,26,15,0,0,5587.899376199615,0.0
Cold Springs High,math,4,False,0.25,0.75,1.5503875968992247,,26,15,0,0,5587.899376199615,0.0
Coleman Tech Charter High,ela,269,True,0.363,0.39399999999999996,25.61904761904762,179.33333333333334,3,3,0,0.17100371747211895,-5090.988202698735,0.55
Coleman Tech Charter High,math,269,True,0.363,0.39399999999999996,25.61904761904762,179.33333333333334,3,3,0,0.17100371747211895,-5090.988202698735,0.25
Coleville High,ela,66,False,0.444,0.524,8.229426433915213,33.333333333333336,13,11,0,0.0,10027.37275862069,0.93
Coleville High,math,66,False,0.444,0.524,8.229426433915213,33.333333333333336,13,11,0,0.0,10027.37275862069,0.26999999999999996
Colfax High,ela,606,False,0.237,0.31,21.77506288178225,182.53012048192772,15,12,0,0.07920792079207921,5065.930830896688,0.8300000000000001
Colfax High,math,606,False,0.237,0.31,21.77506288178225,182.53012048192772,15,12,0,0.07920792079207921,5065.930830896688,0.47
Coliseum College Prep Academy,ela,482,False,0.914,0.955,17.463768115942027,73.03030303030303,8,6,0,0.024896265560165973,4715.8310267220695,0.19290076335877862
Coliseum College Prep Academy,math,482,False,0.914,0.955,17.463768115942027,73.03030303030303,8,6,0,0.024896265560165973,4715.8310267220695,0.07038167938931297
College And Career Preparatory Academy,ela,16,True,0.0,0.0,16.0,,11,11,5,0,11314.842017456853,
College And Career Preparatory Academy,math,16,True,0.0,0.0,16.0,,11,11,5,0,11314.842017456853,
College Bridge Academy,ela,365,True,0.937,0.98,14.777327935222672,50.0,7,3,0,0.0,6359.788808341607,0.0
College Bridge Academy,math,365,True,0.937,0.98,14.777327935222672,50.0,7,3,0,0.0,6359.788808341607,0.0
College Park High,ela,2013,False,0.165,0.213,23.29861111111111,402.6,14,11,0,0.05414803775459513,254.86259646930188,0.8099999999999999
College Park High,math,2013,False,0.165,0.213,23.29861111111111,402.6,14,11,0,0.05414803775459513,254.86259646930188,0.5599999999999999
College Prep High,ela,69,True,0.5670000000000001,0.627,9.857142857142858,69.0,11,8,0,0.0,5467.402489757927,0.63
College Prep High,math,69,True,0.5670000000000001,0.627,9.857142857142858,69.0,11,8,0,0.0,5467.402489757927,0.22
Colony High,ela,2135,False,0.556,0.731,23.846755277560593,360.0337268128162,14,11,0,0.08290398126463701,5430.401179754528,0.62
Colony High,math,2135,False,0.556,0.731,23.846755277560593,360.0337268128162,14,11,0,0.08290398126463701,5430.401179754528,0.27999999999999997
Colton High,ela,1953,False,0.705,0.816,20.14648236022282,344.44444444444446,15,15,0,0.041474654377880185,5496.813549038132,0.47
Colton High,math,1953,False,0.705,0.816,20.14648236022282,344.44444444444446,15,15,0,0.041474654377880185,5496.813549038132,0.19000000000000003
Colusa High,ela,371,False,0.36,0.467,17.524799244213508,139.4736842105263,14,10,0,0.0862533692722372,6885.544398084814,0.6
Colusa High,math,371,False,0.36,0.467,17.524799244213508,139.4736842105263,14,10,0,0.0862533692722372,6885.544398084814,0.31
Communication And Technology At Diego Rivera Learn,ela,542,False,0.826,0.885,20.088954781319497,180.66666666666666,9,9,0,0.0,5587.211817288847,0.41000000000000003
Communication And Technology At Diego Rivera Learn,math,542,False,0.826,0.885,20.088954781319497,180.66666666666666,9,9,0,0.0,5587.211817288847,0.15
Community Collaborative Charter,ela,482,True,0.779,0.8440000000000001,15.548387096774194,120.80200501253132,8,5,0,0.0,5592.081640170847,0.4184303652968036
Community Collaborative Charter,math,482,True,0.779,0.8440000000000001,15.548387096774194,120.80200501253132,8,5,0,0.0,5592.081640170847,0.2709075144508671
Community Montessori Charter,ela,478,True,0.073,0.126,23.781094527363184,245.12820512820514,11,3,0,0,1506.2790162245687,0.551878453038674
Community Montessori Charter,math,478,True,0.073,0.126,23.781094527363184,245.12820512820514,11,3,0,0,1506.2790162245687,0.38263888888888886
Community Outreach Academy,ela,1520,True,0.595,0.789,19.638242894056845,253.33333333333334,5,3,0,0.023026315789473683,5592.081640170847,0.5473386295928501
Community Outreach Academy,math,1520,True,0.595,0.789,19.638242894056845,253.33333333333334,5,3,0,0.023026315789473683,5592.081640170847,0.5081706114398423
Compton High,ela,1783,False,0.765,0.816,21.74390243902439,118.86666666666666,13,12,0,0.0,6162.484484085179,0.19
Compton High,math,1783,False,0.765,0.816,21.74390243902439,118.86666666666666,13,12,0,0.0,6162.484484085179,0.03
Concord High,ela,1555,False,0.391,0.47100000000000003,20.56878306878307,431.94444444444446,10,8,0,0.05209003215434083,254.86259646930188,0.52
Concord High,math,1555,False,0.391,0.47100000000000003,20.56878306878307,431.94444444444446,10,8,0,0.05209003215434083,254.86259646930188,0.27
Connecting Waters Charter,ela,2100,True,0.336,0.435,19.56400223588597,276.3157894736842,14,8,0,0,2400.202545782818,0.48968641114982575
Connecting Waters Charter,math,2100,True,0.336,0.435,19.56400223588597,276.3157894736842,14,8,0,0,2400.202545782818,0.26819930069930076
Connections Visual And Performing Arts Academy,ela,227,True,0.172,0.253,36.03174603174603,227.0,10,7,0,0,5587.899376199615,0.79421875
Connections Visual And Performing Arts Academy,math,227,True,0.172,0.253,36.03174603174603,227.0,10,7,0,0,5587.899376199615,0.4925806451612903
Conservatory Of Vocal/Instrumental Arts High,ela,34,True,0.382,0.529,11.333333333333334,34.0,18,3,0,0,4715.8310267220695,0.0
Conservatory Of Vocal/Instrumental Arts High,math,34,True,0.382,0.529,11.333333333333334,34.0,18,3,0,0,4715.8310267220695,0.0
Contreras Learning Center-Academic Leadership Comm,ela,472,False,0.868,0.917,19.674864526886203,236.0,12,12,0,0,5587.211817288847,0.63
Contreras Learning Center-Academic Leadership Comm,math,472,False,0.868,0.917,19.674864526886203,236.0,12,12,0,0,5587.211817288847,0.23
Contreras Learning Center-Los Angeles School Of Gl,ela,382,False,0.8640000000000001,0.93,18.19047619047619,191.0,10,9,0,0,5587.211817288847,0.5599999999999999
Contreras Learning Center-Los Angeles School Of Gl,math,382,False,0.8640000000000001,0.93,18.19047619047619,191.0,10,9,0,0,5587.211817288847,0.2
Contreras Learning Center-School Of Social Justice,ela,511,False,0.84,0.905,18.925925925925927,170.33333333333334,11,10,0,0.0,5587.211817288847,0.43
Contreras Learning Center-School Of Social Justice,math,511,False,0.84,0.905,18.925925925925927,170.33333333333334,11,10,0,0.0,5587.211817288847,0.13
Corcoran High,ela,860,False,0.6759999999999999,0.7609999999999999,19.770114942528735,172.0,7,5,0,0.08023255813953488,5709.124542424248,0.46
Corcoran High,math,860,False,0.6759999999999999,0.7609999999999999,19.770114942528735,172.0,7,5,0,0.08023255813953488,5709.124542424248,0.13999999999999999
Cordova High,ela,1692,False,0.583,0.6859999999999999,18.84187082405345,423.0,13,10,0,0.0797872340425532,4665.596594009556,0.5700000000000001
Cordova High,math,1692,False,0.583,0.6859999999999999,18.84187082405345,423.0,13,10,0,0.0797872340425532,4665.596594009556,0.27999999999999997
Core Butte Charter,ela,693,True,0.307,0.423,17.022844509948417,97.60563380281691,14,5,0,0,14063.632216264525,0.5795000000000001
Core Butte Charter,math,693,True,0.307,0.423,17.022844509948417,97.60563380281691,14,5,0,0,14063.632216264525,0.3682551319648094
