school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Diablo Vista Elementary,math,499,False,0.5329999999999999,0.605,22.681818181818183,499.0,18,15,0,0.0,4860.890335123647,0.29142599277978337
Diamond Creek Elementary,ela,581,False,0.096,0.14800000000000002,21.51851851851852,581.0,14,12,0,0.022375215146299483,4895.213235819122,0.6903975535168196
Diamond Creek Elementary,math,581,False,0.096,0.14800000000000002,21.51851851851852,581.0,14,12,0,0.022375215146299483,4895.213235819122,0.6691284403669725
Diamond Elementary,ela,571,False,0.93,0.9390000000000001,24.82608695652174,571.0,20,18,0,0.0,5489.975345472109,0.21113805970149255
Diamond Elementary,math,571,False,0.93,0.9390000000000001,24.82608695652174,571.0,20,18,0,0.0,5489.975345472109,0.20977941176470588
Diamond Point Elementary,ela,342,False,0.5,0.618,22.8,342.0,17,17,0,0.0,5690.682534390678,0.4592067307692308
Diamond Point Elementary,math,342,False,0.5,0.618,22.8,342.0,17,17,0,0.0,5690.682534390678,0.37935096153846154
Dickison Elementary,ela,827,False,0.828,0.868,24.323529411764707,165.4,15,15,0,0.0,6162.484484085179,0.3276851851851852
Dickison Elementary,math,827,False,0.828,0.868,24.323529411764707,165.4,15,15,0,0.0,6162.484484085179,0.24763917525773196
Dickson Elementary,ela,634,False,0.7659999999999999,0.84,22.206654991243433,218.6206896551724,15,15,0,0.01892744479495268,4615.170772668351,0.26225
Dickson Elementary,math,634,False,0.7659999999999999,0.84,22.206654991243433,218.6206896551724,15,15,0,0.01892744479495268,4615.170772668351,0.16144021739130435
Dingeman Elementary,ela,858,False,0.059000000000000004,0.07400000000000001,23.18918918918919,429.0,20,18,0,0.0,-5090.988202698735,0.8602961275626425
Dingeman Elementary,math,858,False,0.059000000000000004,0.07400000000000001,23.18918918918919,429.0,20,18,0,0.0,-5090.988202698735,0.8521461187214612
Dingle Elementary,ela,387,False,0.762,0.888,23.31325301204819,387.0,12,11,0,0.04392764857881137,5273.202771036793,0.23090476190476195
Dingle Elementary,math,387,False,0.762,0.888,23.31325301204819,387.0,12,11,0,0.04392764857881137,5273.202771036793,0.16928229665071767
Discovery Bay Elementary,ela,500,False,0.33299999999999996,0.369,26.31578947368421,,13,10,0,0.0,3681.8253366696968,0.5720035460992908
Discovery Bay Elementary,math,500,False,0.33299999999999996,0.369,26.31578947368421,,13,10,0,0.0,3681.8253366696968,0.5513701067615658
Discovery Elementary,ela,1041,False,0.16699999999999998,0.221,27.038961038961038,1041.0,13,13,0,0,4466.857939268726,0.6924379344587884
Discovery Elementary,math,1041,False,0.16699999999999998,0.221,27.038961038961038,1041.0,13,13,0,0,4466.857939268726,0.5841080277502477
Discovery School Of The Arts,ela,920,False,0.5579999999999999,0.693,25.442477876106196,920.0,18,16,0,0.0,5208.163459288152,0.5985420560747664
Discovery School Of The Arts,math,920,False,0.5579999999999999,0.693,25.442477876106196,920.0,18,16,0,0.0,5208.163459288152,0.4002897196261682
Dixie Canyon Community Charter,ela,731,True,0.193,0.24100000000000002,22.151515151515152,365.5,18,17,0,0.0,5587.211817288847,0.7000311526479751
Dixie Canyon Community Charter,math,731,True,0.193,0.24100000000000002,22.151515151515152,365.5,18,17,0,0.0,5587.211817288847,0.6416510903426791
Dixie Elementary,ela,397,False,0.021,0.026000000000000002,19.225181598062957,397.0,12,8,0,0.0,6072.142916038212,0.7879166666666667
Dixie Elementary,math,397,False,0.021,0.026000000000000002,19.225181598062957,397.0,12,8,0,0.0,6072.142916038212,0.7599739583333335
Dobbins Elementary,ela,56,False,0.821,0.893,14.35897435897436,56.0,14,14,0,0.0,5074.253585271322,0.11
Dobbins Elementary,math,56,False,0.821,0.893,14.35897435897436,56.0,14,14,0,0.0,5074.253585271322,0.075
Dolores Huerta Elementary,ela,474,False,0.895,0.946,20.608695652173914,237.0,15,15,0,0.0,5587.211817288847,0.3110375494071146
Dolores Huerta Elementary,math,474,False,0.895,0.946,20.608695652173914,237.0,15,15,0,0.0,5587.211817288847,0.2977810650887574
Dolores Street Elementary,ela,598,False,0.625,0.76,18.6875,598.0,17,16,0,0,5587.211817288847,0.33178057553956836
Dolores Street Elementary,math,598,False,0.625,0.76,18.6875,598.0,17,16,0,0,5587.211817288847,0.266594982078853
Dominguez Elementary,ela,587,False,0.6609999999999999,0.8420000000000001,21.74074074074074,587.0,20,20,0,0.0,5587.211817288847,0.4006737588652482
Dominguez Elementary,math,587,False,0.6609999999999999,0.8420000000000001,21.74074074074074,587.0,20,20,0,0.0,5587.211817288847,0.298932384341637
Don Benito Fundamental,ela,608,False,0.303,0.408,22.686567164179102,304.0,16,14,0,0.0,4899.212499459218,0.5800485436893205
Don Benito Fundamental,math,608,False,0.303,0.408,22.686567164179102,304.0,16,14,0,0.0,4899.212499459218,0.47779935275080904
Don Juan Avila Elementary,ela,780,False,0.066,0.084,25.390625,,18,16,0,0.0,4497.252292958168,0.699572864321608
Don Juan Avila Elementary,math,780,False,0.066,0.084,25.390625,,18,16,0,0.0,4497.252292958168,0.6317884130982369
Don Julian Elementary,ela,498,False,0.856,0.935,20.75,498.0,18,15,0,0,6219.470717867508,0.4818222222222222
Don Julian Elementary,math,498,False,0.856,0.935,20.75,498.0,18,15,0,0,6219.470717867508,0.3887946428571429
Don Pedro Elementary,ela,585,False,0.863,0.927,23.4,585.0,13,10,0,0.022222222222222223,4930.258275282077,0.33844776119402986
Don Pedro Elementary,math,585,False,0.863,0.927,23.4,585.0,13,10,0,0.022222222222222223,4930.258275282077,0.17804154302670624
Don Stowell Elementary,ela,568,False,0.9620000000000001,0.98,22.512881490289338,284.0,15,14,0,0.0,5379.1863914401165,0.17823809523809522
Don Stowell Elementary,math,568,False,0.9620000000000001,0.98,22.512881490289338,284.0,15,14,0,0.0,5379.1863914401165,0.10903481012658227
Dona Merced Elementary,ela,582,False,0.46,0.519,21.555555555555557,582.0,15,11,0,0.0,4841.5410145237065,0.508801261829653
Dona Merced Elementary,math,582,False,0.46,0.519,21.555555555555557,582.0,15,11,0,0.0,4841.5410145237065,0.462109375
Donald D. Lum Elementary,ela,520,False,0.217,0.262,19.25925925925926,520.0,15,13,0,0.0,4526.4157436267005,0.6501255230125523
Donald D. Lum Elementary,math,520,False,0.217,0.262,19.25925925925926,520.0,15,13,0,0.0,4526.4157436267005,0.6713786008230452
Donald E. Suburu,ela,750,False,0.515,0.6709999999999999,22.727272727272727,750.0,16,13,0,0.016,5714.984461305008,0.45941176470588235
Donald E. Suburu,math,750,False,0.515,0.6709999999999999,22.727272727272727,750.0,16,13,0,0.016,5714.984461305008,0.2894385026737968
Donald Graham Elementary,ela,473,False,0.442,0.607,19.708333333333332,236.5,17,15,0,0.0,4804.123363656836,0.40046875000000004
Donald Graham Elementary,math,473,False,0.442,0.607,19.708333333333332,236.5,17,15,0,0.0,4804.123363656836,0.27984375
Donald J. Meyer Elementary,ela,522,False,0.732,0.887,18.31578947368421,261.0,15,12,0,0.0,7096.845521213125,0.25789473684210523
Donald J. Meyer Elementary,math,522,False,0.732,0.887,18.31578947368421,261.0,15,12,0,0.0,7096.845521213125,0.25762081784386615
Donald L. Rheem Elementary,ela,410,False,0.022000000000000002,0.022000000000000002,21.57894736842105,410.0,11,11,0,0,5992.243271474023,0.8413194444444444
Donald L. Rheem Elementary,math,410,False,0.022000000000000002,0.022000000000000002,21.57894736842105,410.0,11,11,0,0,5992.243271474023,0.8292165898617512
Donaldson Way Elementary,ela,643,False,0.281,0.387,24.73076923076923,321.5,9,7,0,0,4849.008366794735,0.502059748427673
Donaldson Way Elementary,math,643,False,0.281,0.387,24.73076923076923,321.5,9,7,0,0,4849.008366794735,0.5117924528301887
Donlon Elementary,ela,825,False,0.036000000000000004,0.042,20.971021860701573,412.5,16,11,0,0.0,5478.828435000683,0.809020979020979
Donlon Elementary,math,825,False,0.036000000000000004,0.042,20.971021860701573,412.5,16,11,0,0.0,5478.828435000683,0.8014918414918416
Donn B. Chenoweth Elementary,ela,783,False,0.439,0.551,23.275862068965516,391.5,19,16,0,0.0,5379.1863914401165,0.5409471365638766
Donn B. Chenoweth Elementary,math,783,False,0.439,0.551,23.275862068965516,391.5,19,16,0,0.0,5379.1863914401165,0.38900881057268727
Donner Trail Elementary,ela,64,False,0.094,0.125,12.075471698113208,64.0,21,19,0,0,7158.4250423940175,0.6274285714285714
Donner Trail Elementary,math,64,False,0.094,0.125,12.075471698113208,64.0,21,19,0,0,7158.4250423940175,0.5587142857142857
Dool Elementary,ela,589,False,0.825,0.856,25.608695652173914,589.0,12,10,0,0.0,5781.888411396497,0.1394047619047619
Dool Elementary,math,589,False,0.825,0.856,25.608695652173914,589.0,12,10,0,0.0,5781.888411396497,0.0383596214511041
Dooley Elementary,ela,1092,False,0.7979999999999999,0.915,25.694117647058825,364.0,16,16,0,0.026556776556776556,5501.362705880844,0.3514801444043322
Dooley Elementary,math,1092,False,0.7979999999999999,0.915,25.694117647058825,364.0,16,16,0,0.026556776556776556,5501.362705880844,0.28156756756756757
Dorothy Grant Elementary,ela,682,False,0.528,0.7070000000000001,22.95523392797038,341.0,18,15,0,0.0,5697.605208042951,0.5892982456140351
